,syllable,position,frequency_pos,frequency,pval_uniform
13600,s_iː,1,3137,3491,0.0
13601,s_iː,2,277,3491,0.0
13602,s_iː,3,75,3491,0.0
13603,s_iː,4,2,3491,0.0
13604,s_iː,5,0,3491,0.0
13605,s_iː_dʒ,1,8,8,0.7234184599172108
13606,s_iː_dʒ,2,0,8,0.7234184599172108
13607,s_iː_dʒ_d,2,5,5,0.4896358490926503
13608,s_iː_d,1,32,82,0.1189797168831346
13609,s_iː_d,2,49,82,0.1189797168831346
13610,s_iː_d,3,1,82,0.1189797168831346
13611,s_iː_d_z,1,21,41,0.4637552621635807
13612,s_iː_d_z,2,20,41,0.4637552621635807
13613,s_iː_d_z,3,0,41,0.4637552621635807
13614,s_iː_f,2,1,1,0.0
13615,s_iː_k,1,45,46,0.4065190906342436
13616,s_iː_k,3,1,46,0.4065190906342436
13617,s_iː_k_s,1,11,11,0.881819246751963
13618,s_iː_l,1,14,30,0.6191322951917076
13619,s_iː_l,2,15,30,0.6191322951917076
13620,s_iː_l,3,1,30,0.6191322951917076
13621,s_iː_l_d,1,15,30,0.6191322951917076
13622,s_iː_l_d,2,15,30,0.6191322951917076
13623,s_iː_l_z,1,5,6,0.5803236797915148
13624,s_iː_l_z,2,1,6,0.5803236797915148
13625,s_iː_l_z,3,0,6,0.5803236797915148
13626,s_iː_m,1,224,225,0.0
13627,s_iː_m,2,1,225,0.0
13628,s_iː_m_d,1,415,415,0.0
13629,s_iː_m_d,2,0,415,0.0
13630,s_iː_m_z,1,246,246,0.0
13631,s_iː_m_z,2,0,246,0.0
13632,s_iː_n,1,465,495,0.0
13633,s_iː_n,2,24,495,0.0
13634,s_iː_n,3,6,495,0.0
13635,s_iː_n_z,1,23,24,0.7301252296475932
13636,s_iː_n_z,2,1,24,0.7301252296475932
13637,s_iː_n_z,3,0,24,0.7301252296475932
13638,s_iː_p_s,1,1,1,0.0
13639,s_iː_s,1,17,17,0.9016509460184804
13640,s_iː_s,2,0,17,0.9016509460184804
13641,s_iː_s,3,0,17,0.9016509460184804
13642,s_iː_s_t,1,20,22,0.7734052079675909
13643,s_iː_s_t,2,2,22,0.7734052079675909
13644,s_iː_s_t,3,0,22,0.7734052079675909
13645,s_iː_t,1,78,91,0.0671797302764578
13646,s_iː_t,2,13,91,0.0671797302764578
13647,s_iː_t,3,0,91,0.0671797302764578
13648,s_iː_t,4,0,91,0.0671797302764578
13649,s_iː_t_s,1,31,35,0.5424568268591953
13650,s_iː_t_s,2,4,35,0.5424568268591953
13651,s_iː_t_s,3,0,35,0.5424568268591953
13652,s_iː_t_s,4,0,35,0.5424568268591953
13653,s_iː_v,2,68,68,0.2120998554575881
13654,s_iː_v,3,0,68,0.2120998554575881
13655,s_iː_v_d,2,115,116,0.0
13656,s_iː_v_d,3,1,116,0.0
13657,s_iː_v_z,2,10,10,0.8344113943730964
13658,s_iː_v_z,3,0,10,0.8344113943730964
13659,s_iː_z,1,66,129,0.0
13660,s_iː_z,2,12,129,0.0
13661,s_iː_z,3,40,129,0.0
13662,s_iː_z,4,11,129,0.0
13663,s_iː_z,5,0,129,0.0
13664,s_iː_z,7,0,129,0.0
13665,s_iː_z_d,1,20,20,0.8208130603464577
13666,s_j_ɜː_ɜ˞,2,12,12,0.9250992250719609
13667,s_j_ʊə_l,2,6,6,0.5803236797915148
13668,s_j_ʊə_s,2,3,3,0.2355481345110688
13669,s_j_ə,2,12,12,0.9250992250719609
13670,s_j_ə,3,0,12,0.9250992250719609
13671,s_j_ə_ɜ˞,2,3,3,0.2355481345110688
13672,s_j_ə_l,2,1,1,0.0
13673,s_j_ə_n_s,3,1,1,0.0
13674,s_j_ə_s,2,3,3,0.2355481345110688
13675,s_j_ə_z,2,1,1,0.0
13676,s_j_ʊ,2,19,24,0.7301252296475932
13677,s_j_ʊ,3,5,24,0.7301252296475932
13678,s_j_uː,1,2,96,0.0405741390867012
13679,s_j_uː,2,89,96,0.0405741390867012
13680,s_j_uː,3,5,96,0.0405741390867012
13681,s_j_uː_d,1,0,15,0.9639078404721536
13682,s_j_uː_d,2,15,15,0.9639078404721536
13683,s_j_uː_l,2,3,3,0.2355481345110688
13684,s_j_uː_l,3,0,3,0.2355481345110688
13685,s_j_uː_l_z,2,2,2,0.0338673693563189
13686,s_j_uː_l_z,3,0,2,0.0338673693563189
13687,s_j_uː_m,2,52,52,0.3455359637637201
13688,s_j_uː_m_d,2,50,50,0.3650445806101261
13689,s_j_uː_m_z,2,12,12,0.9250992250719609
13690,s_j_uː_t,2,22,22,0.7734052079675909
13691,s_j_uː_t_s,2,3,3,0.2355481345110688
13692,s_j_uː_z,2,3,3,0.2355481345110688
13693,s_k_ɑː,1,15,16,0.9318059948023432
13694,s_k_ɑː,2,1,16,0.9318059948023432
13695,s_k_ɑː_ɜ˞,1,7,7,0.6569991481240273
13696,s_k_ɑː_d,1,5,5,0.4896358490926503
13697,s_k_ɑː_f,1,8,8,0.7234184599172108
13698,s_k_ɑː_p,1,0,2,0.0338673693563189
13699,s_k_ɑː_p,2,2,2,0.0338673693563189
13700,s_k_ɑː_v_z,1,4,4,0.3786429146367648
13701,s_k_ɑː_z,1,6,6,0.5803236797915148
13702,s_k_ɔː,1,11,18,0.8732200097732894
13703,s_k_ɔː,2,7,18,0.8732200097732894
13704,s_k_ɔː,3,0,18,0.8732200097732894
13705,s_k_ɔː_ɲ,1,1,1,0.0
13706,s_k_ɔː_ɲ_t,1,5,5,0.4896358490926503
13707,s_k_ɔː_ɜ˞,1,22,22,0.7734052079675909
13708,s_k_ɔː_ɜ˞,2,0,22,0.7734052079675909
13709,s_k_ɔː_ɜ˞,3,0,22,0.7734052079675909
13710,s_k_ɔː_d,1,15,17,0.9016509460184804
13711,s_k_ɔː_d,2,2,17,0.9016509460184804
13712,s_k_ɔː_d,3,0,17,0.9016509460184804
13713,s_k_ɔː_l,1,3,3,0.2355481345110688
13714,s_k_ɔː_n,1,10,10,0.8344113943730964
13715,s_k_ɔː_t,2,6,6,0.5803236797915148
13716,s_k_ɔː_t_s,2,1,1,0.0
13717,s_k_ɔː_z,1,13,13,0.9649129456753878
13718,s_k_ɔː_z,3,0,13,0.9649129456753878
13719,s_k_eɪ,1,6,19,0.846326651164806
13720,s_k_eɪ,2,12,19,0.846326651164806
13721,s_k_eɪ,3,1,19,0.846326651164806
13722,s_k_eɪ_ð_d,2,2,2,0.0338673693563189
13723,s_k_eɪ_d,2,1,1,0.0
13724,s_k_eɪ_d_z,2,1,1,0.0
13725,s_k_eɪ_l,1,73,91,0.0671797302764578
13726,s_k_eɪ_l,2,18,91,0.0671797302764578
13727,s_k_eɪ_l,3,0,91,0.0671797302764578
13728,s_k_eɪ_l,5,0,91,0.0671797302764578
13729,s_k_eɪ_l_z,1,9,9,0.7820044449462648
13730,s_k_eɪ_l_z,2,0,9,0.7820044449462648
