,syllable,frequency,pval_uniform
201,ð_aɪ_n,2,0.033867369356318955
202,ð_əʊ,929,0.0
203,ð_əʊ_z,882,0.0
204,ð_aʊ,13,0.9649129456753878
205,ð_aʊ_t,581,0.0
208,ð_ɛə,3132,0.0
209,ð_ɛə_ɜ˞,3353,0.0
210,ð_ɛə_d,6,0.5803236797915148
211,ð_ɛə_l,9,0.7820044449462648
212,ð_ɛə_v,1,0.0
213,ð_ɛə_z,293,0.0
214,ð_ə,288,0.0
215,ð_ə_ɜ˞,5339,0.0
216,ð_ə_d,80,0.1312619697855658
217,ð_ə_m,358,0.0
219,ð_ə_m_z,8,0.7234184599172108
220,ð_ə_n,44,0.4286296626871451
222,ð_ə_z,486,0.0
223,ð_ɛ_m,2347,0.0
224,ð_ɛ_n,1881,0.0
225,ð_ɛ_n_s,5,0.48963584909265034
228,ð_n̩,55,0.31763672823125944
231,ð_ɪ,31,0.6028224415841186
232,ð_ɪ_ŋ,105,0.0
234,ð_ɪ_n,292,0.0
235,ð_ɪ_s,4734,0.0
236,ð_ɪ_s_t,5,0.48963584909265034
237,ð_ɪ_z,1,0.0
238,ð_l̩,1,0.0
240,ð_ʌ_s,179,0.0
241,ð_iː,60967,0.0
242,ð_iː_z,1265,0.0
243,ð_ɻ_ə_n,2,0.033867369356318955
244,ð_æ,12,0.9250992250719607
245,ð_æ_n,1657,0.0
246,ð_æ_t,12118,0.0
247,ð_æ_t_s,517,0.0
248,ɛ,6165,0.0
250,ɛ_ɲ_t,5,0.48963584909265034
251,ɛ_θ,11,0.881819246751963
252,ɛ_dʒ,77,0.1502734291998825
253,ɛ_dʒ_d,7,0.6569991481240273
254,ɛ_b,3,0.23554813451106882
257,ɛ_d,1,0.0
259,ɛ_f,127,0.0
263,ɛ_ɡ,49,0.37509352782781835
265,ɛ_ɡ_z,49,0.37509352782781835
266,ɛ_k,724,0.0
267,ɛ_k_s,135,0.0
268,ɛ_l,482,0.0
270,ɛ_l_k,2,0.033867369356318955
272,ɛ_l_m,7,0.6569991481240273
273,ɛ_l_m_z,3,0.23554813451106882
274,ɛ_l_s,320,0.0
276,ɛ_l_z,1,0.0
277,ɛ_m,962,0.0
278,ɛ_m_p,104,0.0007604184832742389
282,ɛ_n,826,0.0
284,ɛ_n_d,534,0.0
285,ɛ_n_d_z,50,0.3650445806101261
286,ɛ_n_t,2,0.033867369356318955
287,ɛ_n_z,1,0.0
288,ɛ_p,1,0.0
289,ɛ_p_t,2,0.033867369356318955
290,ɛ_s,1710,0.0
291,ɛ_s_k,1,0.0
292,ɛ_s_p,1,0.0
293,ɛ_s_t,5,0.48963584909265034
294,ɛ_t,44,0.4286296626871451
295,ɛ_t_s,10,0.8344113943730964
297,n̩,4,0.3786429146367648
299,ɪ,5283,0.0
300,ɪ_ɲ,1,0.0
302,ɪ_ŋ,5063,0.0
303,ɪ_ŋ_k,12,0.9250992250719607
304,ɪ_ŋ_k_s,1,0.0
306,ɪ_ŋ_z,86,0.09528924100519998
307,ɪ_ʃ,65,0.23454302930783477
310,ɪ_dʒ,25,0.7098201258905722
312,ɪ_d,20,0.8208130603464577
313,ɪ_d_z,3,0.23554813451106882
314,ɪ_f,3006,0.0
315,ɪ_ɡ,1207,0.0
316,ɪ_k,2537,0.0
317,ɪ_k_s,141,0.0
318,ɪ_l,101,0.015319681365850157
319,ɪ_l_k,1,0.0
320,ɪ_l_z,3,0.23554813451106882
321,ɪ_m,1768,0.0
322,ɪ_m_p,1,0.0
324,ɪ_m_z,10,0.8344113943730964
325,ɪ_n,29906,0.0
326,ɪ_n_ɲ,24,0.7301252296475932
328,ɪ_n_d,15,0.9639078404721537
329,ɪ_n_s,4,0.3786429146367648
331,ɪ_n_z,18,0.8732200097732894
333,ɪ_s,13,0.9649129456753878
334,ɪ_s_t,132,0.0
335,ɪ_s_t_s,15,0.9639078404721537
336,ɪ_t,11504,0.0
337,ɪ_t_s,2659,0.0
338,ɪ_z,9517,0.0
339,ɲ_ɑː,114,0.0
341,ɲ_ɑː_dʒ,81,0.12508293418334337
342,ɲ_ɑː_dʒ_d,34,0.5568754007380342
345,ɲ_ɑː_f,1,0.0
348,ɲ_ɑː_l,2,0.033867369356318955
349,ɲ_ɑː_m,18,0.8732200097732894
350,ɲ_ɑː_m_d,5,0.48963584909265034
351,ɲ_ɑː_m_z,4,0.3786429146367648
352,ɲ_ɑː_n,77,0.1502734291998825
353,ɲ_ɑː_n_d,2,0.033867369356318955
354,ɲ_ɑː_n_s,147,0.0
356,ɲ_ɑː_n_t,6,0.5803236797915148
357,ɲ_ɑː_n_t_s,1,0.0
358,ɲ_ɑː_t,13,0.9649129456753878
359,ɲ_ɑː_t_s,5,0.48963584909265034
361,ɲ_ɔː,3,0.23554813451106882
362,ɲ_ɔː_ɜ˞,3,0.23554813451106882
364,ɲ_ɔː_k,9,0.7820044449462648
367,ɲ_ɔː_z,5,0.48963584909265034
368,ɲ_eɪ,10,0.8344113943730964
372,ɲ_eɪ_m,54,0.32676369933809335
373,ɲ_eɪ_n,213,0.0
374,ɲ_eɪ_n_dʒ,332,0.0
375,ɲ_eɪ_n_dʒ_d,245,0.0
376,ɲ_eɪ_n_d,5,0.48963584909265034
377,ɲ_eɪ_n_z,16,0.9318059948023432
378,ɲ_eɪ_s,9,0.7820044449462648
379,ɲ_eɪ_s_t,14,0.9982253065955268
380,ɲ_aɪ,110,0.0
383,ɲ_aɪ_l,15,0.9639078404721537
384,ɲ_aɪ_l_d,484,0.0
386,ɲ_aɪ_m,1,0.0
388,ɲ_aɪ_m_z,2,0.033867369356318955
389,ɲ_aɪ_n,1,0.0
392,ɲ_aɪ_v_z,1,0.0
393,ɲ_aɪ_z,3,0.23554813451106882
395,ɲ_ɜː,28,0.6534497613150807
396,ɲ_ɜː_ɲ,167,0.0
400,ɲ_ɜː_n,1,0.0
406,ɲ_ɔɪ,15,0.9639078404721537
407,ɲ_ɔɪ_s,102,0.010419090302838607
408,ɲ_əʊ,66,0.22694889753239533
409,ɲ_əʊ_k,5,0.48963584909265034
410,ɲ_əʊ_k_s,2,0.033867369356318955
411,ɲ_əʊ_k_t,5,0.48963584909265034
412,ɲ_əʊ_z,33,0.5717244428128412
413,ɲ_aʊ,1,0.0
415,ɲ_ɪə,42,0.4517689961603307
416,ɲ_ɪə_ɜ˞,11,0.881819246751963
417,ɲ_ɪə_d,5,0.48963584909265034
420,ɲ_ɪə_z,6,0.5803236797915148
421,ɲ_ɛə,68,0.21209985545758814
422,ɲ_ɛə_ɜ˞,119,0.0
424,ɲ_ɛə_z,38,0.5015511058843599
425,ɲ_ʊə,405,0.0
426,ɲ_ʊə_l,178,0.0
427,ɲ_ʊə_l_z,9,0.7820044449462648
428,ɲ_ʊə_s,23,0.7512946359146896
429,ɲ_ə,305,0.0
430,ɲ_ə_ɜ˞,1383,0.0
431,ɲ_ə_d,76,0.15677556060391384
432,ɲ_ə_d_z,3,0.23554813451106882
433,ɲ_ə_l,9,0.7820044449462648
435,ɲ_ə_n,412,0.0
436,ɲ_ə_n_d,17,0.9016509460184803
437,ɲ_ə_n_t,13,0.9649129456753878
438,ɲ_ə_n_t_s,7,0.6569991481240273
439,ɲ_ə_n_z,156,0.0
440,ɲ_ə_p,1,0.0
441,ɲ_ə_s,28,0.6534497613150807
442,ɲ_ə_s_t,10,0.8344113943730964
443,ɲ_ə_z,401,0.0
444,ɲ_ɛ,60,0.2743567499112618
445,ɲ_ɛ_k,95,0.045782626148028416
446,ɲ_ɛ_k_s,26,0.6903115090441662
447,ɲ_ɛ_k_t,33,0.5717244428128412
449,ɲ_ɛ_s,23,0.7512946359146896
450,ɲ_ɛ_s_t,43,0.4400647862856458
451,ɲ_ɛ_s_t_s,4,0.3786429146367648
452,ɲ_ɪ,88,0.0838541174066989
453,ɲ_ɪ_ŋ,424,0.0
454,ɲ_ɪ_ŋ_k,1,0.0
457,ɲ_ɪ_ŋ_z,5,0.48963584909265034
458,ɲ_ɪ_d,14,0.9982253065955268
459,ɲ_ɪ_f,23,0.7512946359146896
460,ɲ_ɪ_f_s,2,0.033867369356318955
461,ɲ_ɪ_k,3,0.23554813451106882
462,ɲ_ɪ_k_s,3,0.23554813451106882
463,ɲ_ɪ_l,673,0.0
464,ɲ_ɪ_l_d,5,0.48963584909265034
465,ɲ_ɪ_l_z,1,0.0
466,ɲ_ɪ_m,14,0.9982253065955268
467,ɲ_ɪ_m_p,1,0.0
468,ɲ_ɪ_m_p_s,1,0.0
469,ɲ_ɪ_n,131,0.0
470,ɲ_ɪ_n_t_s,1,0.0
471,ɲ_ɪ_n_z,9,0.7820044449462648
472,ɲ_ɪ_p,6,0.5803236797915148
473,ɲ_ɪ_p_s,10,0.8344113943730964
474,ɲ_ɪ_p_t,5,0.48963584909265034
475,ɲ_ɪ_s,4,0.3786429146367648
476,ɲ_ɪ_s_t,8,0.7234184599172108
477,ɲ_ɪ_t,4,0.3786429146367648
479,ɲ_ɪ_z,390,0.0
480,ɲ_ɒ,24,0.7301252296475932
488,ɲ_ɒ_p,9,0.7820044449462648
489,ɲ_ɒ_p_s,4,0.3786429146367648
490,ɲ_ɒ_p_t,10,0.8344113943730964
491,ɲ_ʊ,279,0.0
492,ɲ_ʌ,12,0.9250992250719607
493,ɲ_ʌ_ŋ,1,0.0
494,ɲ_ʌ_ŋ_k,3,0.23554813451106882
495,ɲ_ʌ_ŋ_k_s,5,0.48963584909265034
496,ɲ_ʌ_b,6,0.5803236797915148
501,ɲ_ʌ_k,4,0.3786429146367648
504,ɲ_ʌ_m,3,0.23554813451106882
506,ɲ_ʌ_m_p,1,0.0
508,ɲ_ʌ_m_z,1,0.0
509,ɲ_ʌ_t,3,0.23554813451106882
510,ɲ_iː,53,0.3360612778790799
511,ɲ_iː_f,115,0.0
512,ɲ_iː_f_s,14,0.9982253065955268
513,ɲ_iː_k,28,0.6534497613150807
514,ɲ_iː_k_s,21,0.7965445414407768
516,ɲ_iː_p,51,0.35519463558328435
519,ɲ_iː_t,5,0.48963584909265034
521,ɲ_iː_v,88,0.0838541174066989
522,ɲ_iː_v_d,60,0.2743567499112618
523,ɲ_iː_v_z,3,0.23554813451106882
524,ɲ_iː_z,28,0.6534497613150807
526,ɲ_n_ə_t,1,0.0
527,ɲ_n_ə_t_s,1,0.0
528,ɲ_ɻ_ə,82,0.11897971688313469
529,ɲ_ɻ_ə_l,176,0.0
530,ɲ_ɻ_ə_l_z,1,0.0
531,ɲ_uː,50,0.3650445806101261
532,ɲ_uː_d,5,0.48963584909265034
533,ɲ_uː_n,36,0.5284444644928434
534,ɲ_uː_n_z,12,0.9250992250719607
535,ɲ_uː_z,72,0.18366891921239736
536,ɲ_æ,194,0.0
537,ɲ_æ_d,3,0.23554813451106882
538,ɲ_æ_m,32,0.5870304495218972
543,ɲ_æ_p,153,0.0
544,ɲ_æ_p_s,7,0.6569991481240273
546,ɲ_æ_t,15,0.9639078404721537
547,ɲ_æ_t_s,1,0.0
548,ŋ_ɪə_ɜ˞,2,0.033867369356318955
550,ŋ_ə_ɜ˞,13,0.9649129456753878
551,ŋ_ə_m,1,0.0
553,ŋ_ə_z,10,0.8344113943730964
554,ŋ_ɪ,4,0.3786429146367648
555,ŋ_ɪ_ŋ,232,0.0
556,ŋ_ɪ_ŋ_z,8,0.7234184599172108
557,ŋ_ɪ_ʃ,2,0.033867369356318955
558,l̩,3,0.23554813451106882
559,ɒ,2612,0.0
562,ɒ_b,395,0.0
563,ɒ_d,74,0.17004050589590514
564,ɒ_d_z,17,0.9016509460184803
565,ɒ_f,831,0.0
566,ɒ_f_s,1,0.0
567,ɒ_f_t,1,0.0
568,ɒ_k,95,0.045782626148028416
569,ɒ_k_s,47,0.39582177577828337
571,ɒ_m,10,0.8344113943730964
572,ɒ_n,7030,0.0
574,ɒ_p,71,0.19062575946004823
575,ɒ_p_s,2,0.033867369356318955
578,ɒ_s,16,0.9318059948023432
579,ɒ_s_k,2,0.033867369356318955
580,ɒ_s_k_s,1,0.0
581,ɒ_v,30108,0.0
583,ʃ,4,0.3786429146367648
584,ʃ_ɑː,28,0.6534497613150807
586,ʃ_ɑː_d_z,1,0.0
588,ʃ_ɑː_f_t,10,0.8344113943730964
589,ʃ_ɑː_f_t_s,4,0.3786429146367648
590,ʃ_ɑː_k,14,0.9982253065955268
591,ʃ_ɑː_k_s,6,0.5803236797915148
592,ʃ_ɑː_n_t,8,0.7234184599172108
593,ʃ_ɑː_p,91,0.06717973027645785
596,ʃ_ɔː,258,0.0
597,ʃ_ɔː_ɜ˞,402,0.0
598,ʃ_ɔː_d,41,0.46375526216358076
599,ʃ_ɔː_l,5,0.48963584909265034
600,ʃ_ɔː_l_z,2,0.033867369356318955
601,ʃ_ɔː_n,1,0.0
602,ʃ_ɔː_t,260,0.0
603,ʃ_ɔː_t_s,11,0.881819246751963
604,ʃ_ɔː_z,13,0.9649129456753878
605,ʃ_eɪ,82,0.11897971688313469
606,ʃ_eɪ_d,23,0.7512946359146896
607,ʃ_eɪ_d_z,10,0.8344113943730964
608,ʃ_eɪ_k,51,0.35519463558328435
609,ʃ_eɪ_k_s,7,0.6569991481240273
610,ʃ_eɪ_l,1,0.0
611,ʃ_eɪ_m,32,0.5870304495218972
612,ʃ_eɪ_m_d,22,0.7734052079675909
614,ʃ_eɪ_p,71,0.19062575946004823
615,ʃ_eɪ_p_s,19,0.846326651164806
616,ʃ_eɪ_p_t,14,0.9982253065955268
617,ʃ_eɪ_v,6,0.5803236797915148
618,ʃ_eɪ_v_d,5,0.48963584909265034
620,ʃ_eɪ_z,4,0.3786429146367648
621,ʃ_aɪ,62,0.2580468963036725
623,ʃ_aɪ_n,25,0.7098201258905722
625,ʃ_aɪ_n_z,3,0.23554813451106882
627,ʃ_ɜː,2,0.033867369356318955
634,ʃ_ɜː_t,52,0.3455359637637201
635,ʃ_ɜː_t_s,20,0.8208130603464577
637,ʃ_əʊ,307,0.0
638,ʃ_əʊ_d,105,0.0
639,ʃ_əʊ_l,133,0.0
641,ʃ_əʊ_l_z,3,0.23554813451106882
642,ʃ_əʊ_n,85,0.10110692100170271
643,ʃ_əʊ_z,69,0.20483832547949354
644,ʃ_aʊ,98,0.030317982547372058
645,ʃ_aʊ_t,19,0.846326651164806
646,ʃ_aʊ_t_s,9,0.7820044449462648
647,ʃ_ɪə,25,0.7098201258905722
648,ʃ_ɪə_ɜ˞,32,0.5870304495218972
650,ʃ_ɪə_t,3,0.23554813451106882
651,ʃ_ɪə_t_s,8,0.7234184599172108
652,ʃ_ɪə_z,2,0.033867369356318955
653,ʃ_ɛə,35,0.5424568268591953
654,ʃ_ɛə_ɜ˞,91,0.06717973027645785
655,ʃ_ɛə_d,45,0.4174515300369579
656,ʃ_ɛə_z,28,0.6534497613150807
657,ʃ_ʊə,11,0.881819246751963
658,ʃ_ʊə_l,94,0.05104623049783741
659,ʃ_ʊə_l_z,7,0.6569991481240273
660,ʃ_ə,1665,0.0
661,ʃ_ə_ɜ˞,165,0.0
662,ʃ_ə_d,5,0.48963584909265034
665,ʃ_ə_n,42,0.4517689961603307
666,ʃ_ə_n_d,1,0.0
667,ʃ_ə_n_s,24,0.7301252296475932
668,ʃ_ə_n_t,127,0.0
669,ʃ_ə_n_t_s,2,0.033867369356318955
670,ʃ_ə_n_z,1,0.0
671,ʃ_ə_p,33,0.5717244428128412
672,ʃ_ə_p_s,7,0.6569991481240273
673,ʃ_ə_s,430,0.0
674,ʃ_ə_z,50,0.3650445806101261
676,ʃ_ɛ,60,0.2743567499112618
677,ʃ_ɛ_d,26,0.6903115090441662
678,ʃ_ɛ_d_z,3,0.23554813451106882
679,ʃ_ɛ_f,3,0.23554813451106882
680,ʃ_ɛ_f_s,1,0.0
681,ʃ_ɛ_l,77,0.1502734291998825
683,ʃ_ɛ_l_f,14,0.9982253065955268
685,ʃ_ɛ_l_v_d,5,0.48963584909265034
686,ʃ_ɛ_l_v_z,14,0.9982253065955268
687,ʃ_ɛ_l_z,19,0.846326651164806
688,ʃ_ɛ_n,2,0.033867369356318955
689,ʃ_ɛ_t,3,0.23554813451106882
691,ʃ_n̩,8969,0.0
692,ʃ_n̩_d,125,0.0
694,ʃ_n̩_l,1,0.0
696,ʃ_n̩_s,25,0.7098201258905722
697,ʃ_n̩_t,177,0.0
698,ʃ_n̩_t_s,29,0.6359951293669748
699,ʃ_n̩_z,2248,0.0
700,ʃ_ɪ,313,0.0
701,ʃ_ɪ_ŋ,304,0.0
702,ʃ_ɪ_ŋ_z,4,0.3786429146367648
703,ʃ_ɪ_f,30,0.6191322951917076
704,ʃ_ɪ_f_t,37,0.5148160511763513
705,ʃ_ɪ_f_t_s,11,0.881819246751963
706,ʃ_ɪ_n,2,0.033867369356318955
708,ʃ_ɪ_n_z,1,0.0
709,ʃ_ɪ_p,421,0.0
710,ʃ_ɪ_p_s,92,0.06174354535379756
711,ʃ_ɪ_p_t,10,0.8344113943730964
712,ʃ_ɪ_s,13,0.9649129456753878
713,ʃ_ɪ_s_t,7,0.6569991481240273
714,ʃ_ɪ_s_t_s,2,0.033867369356318955
715,ʃ_ɪ_t,20,0.8208130603464577
717,ʃ_ɪ_z,144,0.0
718,ʃ_l̩,1246,0.0
720,ʃ_l̩_z,68,0.21209985545758814
721,ʃ_ɒ,45,0.4174515300369579
722,ʃ_ɒ_d,1,0.0
723,ʃ_ɒ_k,52,0.3455359637637201
724,ʃ_ɒ_k_s,4,0.3786429146367648
725,ʃ_ɒ_k_t,30,0.6191322951917076
726,ʃ_ɒ_n,15,0.9639078404721537
727,ʃ_ɒ_p,110,0.0
728,ʃ_ɒ_p_s,48,0.3853496843671471
730,ʃ_ɒ_t,100,0.02026903532967994
731,ʃ_ɒ_t_s,21,0.7965445414407768
732,ʃ_ʊ,132,0.0
735,ʃ_ʊ_d,990,0.0
738,ʃ_ʊ_k,68,0.21209985545758814
739,ʃ_ʌ,58,0.2912195840865289
743,ʃ_ʌ_n,2,0.033867369356318955
748,ʃ_ʌ_t,64,0.24225490424145135
749,ʃ_ʌ_t_s,2,0.033867369356318955
750,ʃ_ʌ_v,5,0.48963584909265034
751,ʃ_ʌ_v_d,5,0.48963584909265034
753,ʃ_iː,4166,0.0
756,ʃ_iː_ð_z,1,0.0
757,ʃ_iː_ʃ,1,0.0
758,ʃ_iː_θ,3,0.23554813451106882
759,ʃ_iː_d,66,0.22694889753239533
760,ʃ_iː_f,4,0.3786429146367648
761,ʃ_iː_k,5,0.48963584909265034
762,ʃ_iː_l,21,0.7965445414407768
763,ʃ_iː_l_d,12,0.9250992250719607
764,ʃ_iː_l_d_z,2,0.033867369356318955
765,ʃ_iː_n,91,0.06717973027645785
767,ʃ_iː_n_z,41,0.46375526216358076
768,ʃ_iː_p,41,0.46375526216358076
769,ʃ_iː_t,36,0.5284444644928434
770,ʃ_iː_t_s,23,0.7512946359146896
771,ʃ_iː_v_z,2,0.033867369356318955
772,ʃ_iː_z,217,0.0
773,ʃ_j_ə,4,0.3786429146367648
778,ʃ_n_ə,33,0.5717244428128412
779,ʃ_n_ə_ɜ˞,1,0.0
780,ʃ_n_ə_t,18,0.8732200097732894
781,ʃ_n_ə_z,1,0.0
785,ʃ_n_æ_p_s,1,0.0
787,ʃ_p_iː_l,1,0.0
790,ʃ_ɑ̃ː_ŋ,1,0.0
795,ʃ_ɻ_aɪ_n,4,0.3786429146367648
797,ʃ_ɻ_aɪ_n_z,1,0.0
802,ʃ_ɻ_aʊ,5,0.48963584909265034
803,ʃ_ɻ_aʊ_d,40,0.47603751506601166
804,ʃ_ɻ_aʊ_d_z,1,0.0
806,ʃ_ɻ_ɛ_d,1,0.0
807,ʃ_ɻ_ɛ_d_z,3,0.23554813451106882
808,ʃ_ɻ_ɪ,5,0.48963584909265034
809,ʃ_ɻ_ɪ_ŋ,5,0.48963584909265034
810,ʃ_ɻ_ɪ_ŋ_k,4,0.3786429146367648
811,ʃ_ɻ_ɪ_ŋ_k_s,1,0.0
813,ʃ_ɻ_ɪ_l,8,0.7234184599172108
817,ʃ_ɻ_ɪ_m_p,2,0.033867369356318955
818,ʃ_ɻ_ɪ_m_p_s,2,0.033867369356318955
820,ʃ_ɻ_ʌ,3,0.23554813451106882
821,ʃ_ɻ_ʌ_ŋ,2,0.033867369356318955
822,ʃ_ɻ_ʌ_ŋ_k,5,0.48963584909265034
823,ʃ_ɻ_ʌ_b,4,0.3786429146367648
824,ʃ_ɻ_ʌ_b_z,4,0.3786429146367648
825,ʃ_ɻ_ʌ_ɡ,6,0.5803236797915148
826,ʃ_ɻ_ʌ_ɡ_d,20,0.8208130603464577
827,ʃ_ɻ_ʌ_ɡ_z,1,0.0
828,ʃ_ɻ_iː,5,0.48963584909265034
829,ʃ_ɻ_iː_k,3,0.23554813451106882
830,ʃ_ɻ_iː_k_s,2,0.033867369356318955
831,ʃ_ɻ_iː_k_t,5,0.48963584909265034
832,ʃ_ɻ_uː,2,0.033867369356318955
833,ʃ_ɻ_uː_d,11,0.881819246751963
834,ʃ_ɻ_uː_z,1,0.0
835,ʃ_ɻ_æ_ŋ_k,4,0.3786429146367648
836,ʃ_ɻ_æ_p,2,0.033867369356318955
837,ʃ_t_æ_l_t,1,0.0
839,ʃ_uː,155,0.0
840,ʃ_uː_d,25,0.7098201258905722
841,ʃ_uː_t,31,0.6028224415841186
842,ʃ_uː_t_s,6,0.5803236797915148
843,ʃ_uː_z,131,0.0
846,ʃ_æ,138,0.0
847,ʃ_æ_ŋ,4,0.3786429146367648
848,ʃ_æ_ŋ_k,1,0.0
849,ʃ_æ_ŋ_k_s,1,0.0
852,ʃ_æ_ɡ,1,0.0
855,ʃ_æ_k,5,0.48963584909265034
856,ʃ_æ_k_s,2,0.033867369356318955
858,ʃ_æ_l,230,0.0
859,ʃ_æ_l_t,2,0.033867369356318955
860,ʃ_æ_m,24,0.7301252296475932
863,ʃ_æ_n,9,0.7820044449462648
865,θ_ɑː,2,0.033867369356318955
866,θ_ɔː,5,0.48963584909265034
868,θ_ɔː_n,8,0.7234184599172108
869,θ_ɔː_n_z,3,0.23554813451106882
870,θ_ɔː_t,746,0.0
871,θ_ɔː_t_s,62,0.2580468963036725
873,θ_eɪ_n,4,0.3786429146367648
875,θ_aɪ,18,0.8732200097732894
876,θ_aɪ_n,1,0.0
877,θ_aɪ_z,21,0.7965445414407768
879,θ_ɜː,134,0.0
880,θ_ɜː_d,197,0.0
881,θ_ɜː_d_z,6,0.5803236797915148
